NAME,Population,FIPS
"Columbia County, Georgia",147295,13073
"Cook County, Georgia",17184,13075
"Coweta County, Georgia",140516,13077
"Crawford County, Georgia",12344,13079
"Crisp County, Georgia",22846,13081
"Dade County, Georgia",16227,13083
"Dawson County, Georgia",23861,13085
"Decatur County, Georgia",26833,13087
"DeKalb County, Georgia",743187,13089
"Dodge County, Georgia",20919,13091
"Dooly County, Georgia",13905,13093
"Dougherty County, Georgia",91049,13095
"Douglas County, Georgia",141840,13097
"Early County, Georgia",10348,13099
"Echols County, Georgia",3994,13101
"Effingham County, Georgia",58689,13103
"Elbert County, Georgia",19212,13105
"Emanuel County, Georgia",22499,13107
"Evans County, Georgia",10727,13109
"Fannin County, Georgia",24925,13111
"Fayette County, Georgia",111369,13113
"Floyd County, Georgia",96824,13115
"Forsyth County, Georgia",219880,13117
"Franklin County, Georgia",22514,13119
"Fulton County, Georgia",1021902,13121
"Gilmer County, Georgia",29922,13123
"Glascock County, Georgia",3009,13125
"Glynn County, Georgia",83974,13127
"Gordon County, Georgia",56790,13129
"Grady County, Georgia",24926,13131
"Greene County, Georgia",16976,13133
"Gwinnett County, Georgia",902298,13135
"Habersham County, Georgia",44289,13137
"Hall County, Georgia",195961,13139
"Hancock County, Georgia",8535,13141
"Haralson County, Georgia",28956,13143
"Harris County, Georgia",33590,13145
"Hart County, Georgia",25631,13147
"Heard County, Georgia",11677,13149
"Henry County, Georgia",221307,13151
"Houston County, Georgia",151682,13153
"Irwin County, Georgia",9268,13155
"Jackson County, Georgia",65755,13157
"Jasper County, Georgia",13784,13159
"Jeff Davis County, Georgia",14991,13161
"Jefferson County, Georgia",15772,13163
"Jenkins County, Georgia",8827,13165
"Johnson County, Georgia",9730,13167
"Jones County, Georgia",28548,13169
"Lamar County, Georgia",18513,13171
"Lanier County, Georgia",10366,13173
"Laurens County, Georgia",47418,13175
"Lee County, Georgia",29348,13177
"Liberty County, Georgia",62108,13179
"Lincoln County, Georgia",7799,13181
"Long County, Georgia",18156,13183
"Lowndes County, Georgia",114582,13185
"Lumpkin County, Georgia",31951,13187
"McDuffie County, Georgia",21498,13189
"McIntosh County, Georgia",14120,13191
"Macon County, Georgia",13480,13193
"Madison County, Georgia",28900,13195
"Marion County, Georgia",8484,13197
"Meriwether County, Georgia",21113,13199
"Miller County, Georgia",5836,13201
"Mitchell County, Georgia",22432,13205
"Monroe County, Georgia",27010,13207
"Montgomery County, Georgia",9036,13209
"Morgan County, Georgia",18235,13211
"Murray County, Georgia",39557,13213
"Muscogee County, Georgia",196670,13215
"Newton County, Georgia",106497,13217
"Oconee County, Georgia",37017,13219
"Oglethorpe County, Georgia",14784,13221
"Paulding County, Georgia",155840,13223
"Peach County, Georgia",26966,13225
"Pickens County, Georgia",30832,13227
"Pierce County, Georgia",19164,13229
"Pike County, Georgia",18082,13231
"Polk County, Georgia",41621,13233
"Pulaski County, Georgia",11295,13235
"Putnam County, Georgia",21503,13237
"Rabun County, Georgia",16457,13241
"Randolph County, Georgia",7087,13243
"Richmond County, Georgia",201463,13245
"Rockdale County, Georgia",89011,13247
"Schley County, Georgia",5211,13249
"Screven County, Georgia",13990,13251
"Seminole County, Georgia",8437,13253
"Spalding County, Georgia",64719,13255
"Stephens County, Georgia",25676,13257
"Stewart County, Georgia",6042,13259
"Sumter County, Georgia",30352,13261
"Talbot County, Georgia",6378,13263
"Tattnall County, Georgia",25353,13267
"Taylor County, Georgia",8193,13269
"Telfair County, Georgia",16115,13271
"Terrell County, Georgia",8859,13273
"Thomas County, Georgia",44730,13275
"Tift County, Georgia",40510,13277
"Toombs County, Georgia",27048,13279
"Towns County, Georgia",11417,13281
"Treutlen County, Georgia",6777,13283
"Troup County, Georgia",69774,13285
"Turner County, Georgia",7962,13287
"Twiggs County, Georgia",8284,13289
"Union County, Georgia",22775,13291
"Upson County, Georgia",26216,13293
"Walker County, Georgia",68824,13295
"Walton County, Georgia",90132,13297
"Ware County, Georgia",35599,13299
"Warren County, Georgia",5346,13301
"Washington County, Georgia",20461,13303
"Wayne County, Georgia",29767,13305
"Webster County, Georgia",2613,13307
"Wheeler County, Georgia",7939,13309
"White County, Georgia",28928,13311
"Whitfield County, Georgia",103849,13313
"Wilcox County, Georgia",8846,13315
"Wilkes County, Georgia",9884,13317
"Wilkinson County, Georgia",9078,13319
"Worth County, Georgia",20656,13321
"Hawaii County, Hawaii",197658,15001
"Honolulu County, Hawaii",987638,15003
"Kauai County, Hawaii",71377,15007
"Ada County, Idaho",446052,16001
"Adams County, Idaho",4019,16003
"Bannock County, Idaho",85065,16005
"Bear Lake County, Idaho",5962,16007
"Benewah County, Idaho",9086,16009
"Bingham County, Idaho",45551,16011
"Blaine County, Idaho",21994,16013
"Boise County, Idaho",7163,16015
"Bonner County, Idaho",42711,16017
